country_name,adjectivals,natural_country_name,adjectival_1,adjectival_2,adjectival_3,adjectival_4
Abkhazia (region in Georgia),"Abkhaz, Abkhazian",Abkhazia (region in Georgia),Abkhaz,Abkhazian,NA,NA
Afghanistan,Afghan,Afghanistan,Afghan,NA,NA,NA
Åland Islands,Åland Island,Åland Islands,Åland Island,NA,NA,NA
Albania,Albanian,Albania,Albanian,NA,NA,NA
Algeria,Algerian,Algeria,Algerian,NA,NA,NA
American Samoa,American Samoan,American Samoa,American Samoan,NA,NA,NA
Andorra,Andorran,Andorra,Andorran,NA,NA,NA
Angola,Angolan,Angola,Angolan,NA,NA,NA
Anguilla,Anguillan,Anguilla,Anguillan,NA,NA,NA
Antarctica,Antarctic,Antarctica,Antarctic,NA,NA,NA
Antigua and Barbuda,"Antiguan, Barbudan",Antigua and Barbuda,Antiguan,Barbudan,NA,NA
Argentina,Argentine,Argentina,Argentine,NA,NA,NA
Armenia,Armenian,Armenia,Armenian,NA,NA,NA
Aruba,Aruban,Aruba,Aruban,NA,NA,NA
Australia,Australian,Australia,Australian,NA,NA,NA
Austria,Austrian,Austria,Austrian,NA,NA,NA
Azerbaijan,"Azerbaijani, Azeri",Azerbaijan,Azerbaijani,Azeri,NA,NA
"Bahamas, The",Bahamian,The Bahamas,Bahamian,NA,NA,NA
Bahrain,Bahraini,Bahrain,Bahraini,NA,NA,NA
Bangladesh,Bangladeshi,Bangladesh,Bangladeshi,NA,NA,NA
Barbados,Barbadian,Barbados,Barbadian,NA,NA,NA
Belarus,Belarusian,Belarus,Belarusian,NA,NA,NA
Belgium,Belgian,Belgium,Belgian,NA,NA,NA
Belize,Belizean,Belize,Belizean,NA,NA,NA
Benin,"Beninese, Beninois",Benin,Beninese,Beninois,NA,NA
Bermuda,"Bermudian, Bermudan",Bermuda,Bermudian,Bermudan,NA,NA
Bhutan,Bhutanese,Bhutan,Bhutanese,NA,NA,NA
Bolivia,Bolivian,Bolivia,Bolivian,NA,NA,NA
Bonaire,Bonaire,Bonaire,Bonaire,NA,NA,NA
Bosnia and Herzegovina,"Bosnian, Herzegovinian",Bosnia and Herzegovina,Bosnian,Herzegovinian,NA,NA
Botswana,"Motswana, Botswanan",Botswana,Motswana,Botswanan,NA,NA
Bouvet Island,Bouvet Island,Bouvet Island,Bouvet Island,NA,NA,NA
Brazil,Brazilian,Brazil,Brazilian,NA,NA,NA
British Indian Ocean Territory,BIOT,British Indian Ocean Territory,BIOT,NA,NA,NA
Brunei,Bruneian,Brunei,Bruneian,NA,NA,NA
Bulgaria,Bulgarian,Bulgaria,Bulgarian,NA,NA,NA
Burkina Fasoa,Burkinabé,Burkina Fasoa,Burkinabé,NA,NA,NA
Burma,Burmese,Burma,Burmese,NA,NA,NA
Burundi,Burundian,Burundi,Burundian,NA,NA,NA
Cabo Verde,Cabo Verdean,Cabo Verde,Cabo Verdean,NA,NA,NA
Cambodia,Cambodian,Cambodia,Cambodian,NA,NA,NA
Cameroon,Cameroonian,Cameroon,Cameroonian,NA,NA,NA
Canada,Canadian,Canada,Canadian,NA,NA,NA
Cape Verde,Cabo Verdean,Cape Verde,Cabo Verdean,NA,NA,NA
Cayman Islands,Caymanian,Cayman Islands,Caymanian,NA,NA,NA
Central African Republic,Central African,Central African Republic,Central African,NA,NA,NA
Chad,Chadian,Chad,Chadian,NA,NA,NA
Chile,Chilean,Chile,Chilean,NA,NA,NA
"China, People's Republic of",Chinese,China,Chinese,NA,NA,NA
"China, Republic of","See Taiwan, below",Taiwan,,,NA,NA
Christmas Island,Christmas Island,Christmas Island,Christmas Island,NA,NA,NA
Cocos (Keeling) Islands,Cocos Island,Cocos (Keeling) Islands,Cocos Island,NA,NA,NA
Colombia,Colombian,Colombia,Colombian,NA,NA,NA
Comoros,"Comoran, Comorian",Comoros,Comoran,Comorian,NA,NA
