country_name,languages,first_language
Afghanistan,"Dari Persian, Pashtu (both official), other Turkic and minor languages",Dari Persian
Albania,"Albanian (Tosk is the official dialect), Greek",Albanian
Algeria,"Arabic (official), French, Berber dialects",Arabic
Andorra,"Catalán (official), French, Castilian, Portuguese",Catalán
Angola,"Portuguese (official), Bantu and other African languages",Portuguese
Antigua and Barbuda,"English (official), local dialects",English
Argentina,"Spanish (official), English, Italian, German, French",Spanish
Armenia,"Armenian 98%, Yezidi, Russian",Armenian
Australia,"English 79%, native and other languages",English
Austria,"German (official nationwide); Slovene, Croatian, Hungarian (each official in one region)",German
Azerbaijan,"Azerbaijani Turkic 89%, Russian 3%, Armenian 2%, other 6% (1995 est.)",Azerbaijani Turkic
Bahamas,"English (official), Creole (among Haitian immigrants)",English
Bahrain,"Arabic, English, Farsi, Urdu",Arabic
Bangladesh,"Bangla (official), English",Bangla
Barbados,English,English
Belarus,"Belorussian (White Russian), Russian, other",Belorussian
Belgium,"Dutch (Flemish) 60%, French 40%, German less than 1% (all official)",Dutch
Belize,"English (official), Spanish, Mayan, Garifuna (Carib), Creole",English
Benin,"French (official), Fon, Yoruba, tribal languages",French
Bhutan,"Dzongkha (official), Tibetan dialects (among Bhotes), Nepalese dialects (among Nepalese)",Dzongkha
Bolivia,"Spanish, Quechua, Aymara (all official)",Spanish
Bosnia and Herzegovina,"Bosnian, Croatian, Serbian",Bosnian
Botswana,"English 2% (official), Setswana 78%, Kalanga 8%, Sekgalagadi 3%, other (2001)",English
Brazil,"Portuguese (official), Spanish, English, French",Portuguese
Brunei,"Malay (official), English, Chinese",Malay
Bulgaria,"Bulgarian 85%, Turkish 10%, Roma 4%",Bulgarian
Burkina Faso,French (official); native African (Sudanic) languages 90%,French
Burundi,"Kirundi and French (official), Swahili",Kirundi
Cambodia,"Khmer 95% (official), French, English",Khmer
Cameroon,"French, English (both official); 24 major African language groups",French
Canada,"English 59.3%, French 23.2% (both official); other 17.5%",English
Cape Verde,"Portuguese, Criuolo",Portuguese
Central African Republic,"French (official), Sangho (lingua franca, national), tribal languages",French
Chad,"French, Arabic (both official); Sara; more than 120 languages and dialects",French
Chile,Spanish,Spanish
China,"Standard Chinese (Mandarin/Putonghua), Yue (Cantonese), Wu (Shanghaiese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages",Chinese
Colombia,Spanish,Spanish
Comoros,"Arabic and French (both official), Shikomoro (Swahili/Arabic blend)",Arabic
"Congo, Democratic Republic of the","French (official), Lingala, Kingwana, Kikongo, Tshiluba",French
"Congo, Republic of","French (official), Lingala, Monokutuba, Kikongo, many local languages and dialects",French
Costa Rica,"Spanish (official), English",Spanish
Côte d'Ivoire,French (official) and African languages (Dioula esp.),French
Croatia,"Croatian 96% (official), other 4% (including Italian, Hungarian, Czech, Slovak, German)",Croatian
Cuba,Spanish,Spanish
Cyprus,"Greek, Turkish (both official); English",Greek
Czech Republic,Czech,Czech
Denmark,"Danish, Faroese, Greenlandic (Inuit dialect), German; English is the predominant second language",Danish
Djibouti,"French and Arabic (both official), Somali, Afar",French
Dominica,English (official) and French patois,English
Dominican Republic,Spanish,Spanish
East Timor,"Tetum, Portuguese (official); Bahasa Indonesia, English; other indigenous languages, including Tetum, Galole, Mambae, and Kemak",Tetum
Ecuador,"Spanish (official), Quechua, other Amerindian languages",Spanish
Egypt,"Arabic (official), English and French widely understood by educated classes",Arabic
El Salvador,"Spanish, Nahua (among some Amerindians)",Spanish
Equatorial Guinea,"Spanish, French (both official); pidgin English, Fang, Bubi, Ibo",Spanish
Eritrea,"Afar, Arabic, Tigre and Kunama, Tigrinya, other Cushitic languages",Afar
Estonia,"Estonian 67% (official), Russian 30%, other (2000)",Estonian
Ethiopia,"Amharic, Tigrigna, Orominga, Guaragigna, Somali, Arabic, English, over 70 others",Amharic
Fiji,"English (official), Fijian, Hindustani",English
Finland,"Finnish 92%, Swedish 6% (both official); small Sami- (Lapp) and Russian-speaking minorities",Finnish
France,"French 100%, rapidly declining regional dialects (Provençal, Breton, Alsatian, Corsican, Catalan, Basque, Flemish)",French
Gabon,"French (official), Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi",French
Gambia,"English (official), Mandinka, Wolof, Fula, other indigenous",English
Georgia,"Georgian 71% (official), Russian 9%, Armenian 7%, Azerbaijani 6%, other 7% (Abkhaz is the official language in Abkhazia)",Georgian
Germany,German,German
Ghana,"English (official), African languages (including Akan, Moshi-Dagomba, Ewe, and Ga)",English
Greece,"Greek 99% (official), English, French",Greek
Grenada,"English (official), French patois",English
Guatemala,"Spanish 60%, Amerindian languages 40% (23 officially recognized Amerindian languages, including Quiche, Cakchiquel, Kekchi, Mam, Garifuna, and Xinca)",Spanish
Guinea,"French (official), native tongues (Malinké, Susu, Fulani)",French
Guinea-Bissau,"Portuguese (official), Criolo, African languages",Portuguese
Guyana,"English (official), Amerindian dialects, Creole, Hindi, Urdu",English
Haiti,Creole and French (both official),Hatian Creole
Honduras,"Spanish (official), Amerindian dialects; English widely spoken in business",Spanish
Hungary,"Magyar (Hungarian) 94%, other 6%",Magyar
Iceland,"Icelandic, English, Nordic languages, German widely spoken",Icelandic
India,"Hindi 30%, English, Bengali, Gujarati, Kashmiri, Malayalam, Marathi, Oriya, Punjabi, Tamil, Telugu, Urdu, Kannada, Assamese, Sanskrit, Sindhi (all official); Hindi/Urdu; 1,600+ dialects",Hindi
Indonesia,"Bahasa Indonesia (official), English, Dutch, Javanese, and more than 580 other languages and dialects",Bahasa Indonesia
Iran,"Persian and Persian dialects 58%, Turkic and Turkic dialects 26%, Kurdish 9%, Luri 2%, Balochi 1%, Arabic 1%, Turkish 1%, other 2%",Persian
Iraq,"Arabic (official), Kurdish (official in Kurdish regions), Assyrian, Armenian",Arabic
Ireland,"English, Irish (Gaelic) (both official)",English
Israel,"Hebrew (official), Arabic, English",Hebrew
Italy,"Italian (official); German-, French-, and Slovene-speaking minorities",Italian
Jamaica,"English, Jamaican Creole",English
Japan,Japanese,Japanese
Jordan,"Arabic (official), English",Arabic
Kazakhstan,"Kazak (Qazaq, state language) 64%; Russian (official, used in everyday business) 95% (2001 est.)",Kazak
Kenya,"English (official), Swahili (national), and numerous indigenous languages",English
Kiribati,"English (official), I-Kiribati (Gilbertese)",English
"Korea, North",Korean,Korean
"Korea, South","Korean, English widely taught",Korean
Kosovo,"Albanian (official), Serbian (official), Bosnian, Turkish, Roma",Albanian
Kuwait,"Arabic (official), English",Arabic
Kyrgyzstan,"Kyrgyz, Russian (both official)",Kyrgyz
