language_name,iso639,language_name_1,language_name_2,language_name_3,language_name_4
Abkhaz,ab,Abkhaz,NA,NA,NA
Afar,aa,Afar,NA,NA,NA
Afrikaans,af,Afrikaans,NA,NA,NA
Akan,ak,Akan,NA,NA,NA
Albanian,sq,Albanian,NA,NA,NA
Amharic,am,Amharic,NA,NA,NA
Arabic,ar,Arabic,NA,NA,NA
Aragonese,an,Aragonese,NA,NA,NA
Armenian,hy,Armenian,NA,NA,NA
Assamese,as,Assamese,NA,NA,NA
Avaric,av,Avaric,NA,NA,NA
Avestan,ae,Avestan,NA,NA,NA
Aymara,ay,Aymara,NA,NA,NA
Azerbaijani,az,Azerbaijani,NA,NA,NA
Bambara,bm,Bambara,NA,NA,NA
Bashkir,ba,Bashkir,NA,NA,NA
Basque,eu,Basque,NA,NA,NA
Belarusian,be,Belarusian,NA,NA,NA
"Bengali, Bangla",bn,Bengali,Bangla,NA,NA
Bihari,bh,Bihari,NA,NA,NA
Bislama,bi,Bislama,NA,NA,NA
Bosnian,bs,Bosnian,NA,NA,NA
Breton,br,Breton,NA,NA,NA
Bulgarian,bg,Bulgarian,NA,NA,NA
Burmese,my,Burmese,NA,NA,NA
Catalan,ca,Catalan,NA,NA,NA
Chamorro,ch,Chamorro,NA,NA,NA
Chechen,ce,Chechen,NA,NA,NA
"Chichewa, Chewa, Nyanja",ny,Chichewa,Chewa,Nyanja,NA
Chinese,zh,Chinese,NA,NA,NA
Chuvash,cv,Chuvash,NA,NA,NA
Cornish,kw,Cornish,NA,NA,NA
Corsican,co,Corsican,NA,NA,NA
Cree,cr,Cree,NA,NA,NA
Croatian,hr,Croatian,NA,NA,NA
Czech,cs,Czech,NA,NA,NA
Danish,da,Danish,NA,NA,NA
"Divehi, Dhivehi, Maldivian",dv,Divehi,Dhivehi,Maldivian,NA
Dutch,nl,Dutch,NA,NA,NA
Dzongkha,dz,Dzongkha,NA,NA,NA
English,en,English,NA,NA,NA
Esperanto,eo,Esperanto,NA,NA,NA
Estonian,et,Estonian,NA,NA,NA
Ewe,ee,Ewe,NA,NA,NA
Faroese,fo,Faroese,NA,NA,NA
Fijian,fj,Fijian,NA,NA,NA
Finnish,fi,Finnish,NA,NA,NA
French,fr,French,NA,NA,NA
"Fula, Fulah, Pulaar, Pular",ff,Fula,Fulah,Pulaar,Pular
Galician,gl,Galician,NA,NA,NA
Georgian,ka,Georgian,NA,NA,NA
German,de,German,NA,NA,NA
Greek (modern),el,Greek,NA,NA,NA
Guaraní,gn,Guaraní,NA,NA,NA
Gujarati,gu,Gujarati,NA,NA,NA
"Haitian, Haitian Creole",ht,Haitian,Haitian Creole,NA,NA
Hausa,ha,Hausa,NA,NA,NA
Hebrew (modern),he,Hebrew,NA,NA,NA
Herero,hz,Herero,NA,NA,NA
Hindi,hi,Hindi,NA,NA,NA
Hiri Motu,ho,Hiri Motu,NA,NA,NA
Hungarian,hu,Hungarian,NA,NA,NA
Interlingua,ia,Interlingua,NA,NA,NA
Indonesian,id,Indonesian,NA,NA,NA
Interlingue,ie,Interlingue,NA,NA,NA
Irish,ga,Irish,NA,NA,NA
Igbo,ig,Igbo,NA,NA,NA
Inupiaq,ik,Inupiaq,NA,NA,NA
Ido,io,Ido,NA,NA,NA
Icelandic,is,Icelandic,NA,NA,NA
Italian,it,Italian,NA,NA,NA
Inuktitut,iu,Inuktitut,NA,NA,NA
Japanese,ja,Japanese,NA,NA,NA
Javanese,jv,Javanese,NA,NA,NA
"Kalaallisut, Greenlandic",kl,Kalaallisut,Greenlandic,NA,NA
Kannada,kn,Kannada,NA,NA,NA
Kanuri,kr,Kanuri,NA,NA,NA
Kashmiri,ks,Kashmiri,NA,NA,NA
Kazakh,kk,Kazakh,NA,NA,NA
Khmer,km,Khmer,NA,NA,NA
"Kikuyu, Gikuyu",ki,Kikuyu,Gikuyu,NA,NA
Kinyarwanda,rw,Kinyarwanda,NA,NA,NA
Kyrgyz,ky,Kyrgyz,NA,NA,NA
Komi,kv,Komi,NA,NA,NA
Kongo,kg,Kongo,NA,NA,NA
Korean,ko,Korean,NA,NA,NA
Kurdish,ku,Kurdish,NA,NA,NA
"Kwanyama, Kuanyama",kj,Kwanyama,Kuanyama,NA,NA
Latin,la,Latin,NA,NA,NA
Ladin,,Ladin,NA,NA,NA
"Luxembourgish, Letzeburgesch",lb,Luxembourgish,Letzeburgesch,NA,NA
Ganda,lg,Ganda,NA,NA,NA
"Limburgish, Limburgan, Limburger",li,Limburgish,Limburgan,Limburger,NA
Lingala,ln,Lingala,NA,NA,NA
Lao,lo,Lao,NA,NA,NA
Lithuanian,lt,Lithuanian,NA,NA,NA
Luba-Katanga,lu,Luba-Katanga,NA,NA,NA
Latvian,lv,Latvian,NA,NA,NA
Manx,gv,Manx,NA,NA,NA
Macedonian,mk,Macedonian,NA,NA,NA
Malagasy,mg,Malagasy,NA,NA,NA
Malay,ms,Malay,NA,NA,NA
Malayalam,ml,Malayalam,NA,NA,NA
Maltese,mt,Maltese,NA,NA,NA
Maori,mi,Maori,NA,NA,NA
Marathi (Mara<U+1E6D>hi),mr,Marathi,NA,NA,NA
Marshallese,mh,Marshallese,NA,NA,NA
Mongolian,mn,Mongolian,NA,NA,NA
Nauru,na,Nauru,NA,NA,NA
"Navajo, Navaho",nv,Navajo,Navaho,NA,NA
Northern Ndebele,nd,Northern Ndebele,NA,NA,NA
Nepali,ne,Nepali,NA,NA,NA
Ndonga,ng,Ndonga,NA,NA,NA
Norwegian Bokmål,nb,Norwegian Bokmål,Bokmål Norwegian,NA,NA
Norwegian Nynorsk,nn,Norwegian Nynorsk,Norwegian Nynorsk,NA,NA
Norwegian,no,Norwegian,NA,NA,NA
Nuosu,ii,Nuosu,NA,NA,NA
Southern Ndebele,nr,Southern Ndebele,NA,NA,NA
Occitan,oc,Occitan,NA,NA,NA
"Ojibwe, Ojibwa",oj,Ojibwe,Ojibwa,NA,NA
"Old Church Slavonic, Church Slavonic, Old Bulgarian",cu,Old Church Slavonic,Church Slavonic,Old Bulgarian,NA
Oromo,om,Oromo,NA,NA,NA
Oriya,or,Oriya,NA,NA,NA
"Ossetian, Ossetic",os,Ossetian,Ossetic,NA,NA
"Panjabi, Punjabi",pa,Panjabi,Punjabi,NA,NA
Pali,pi,Pali,NA,NA,NA
Persian (Farsi),fa,Persian,Farsi,NA,NA
Polish,pl,Polish,NA,NA,NA
"Pashto, Pushto",ps,Pashto,Pushto,NA,NA
Portuguese,pt,Portuguese,NA,NA,NA
Quechua,qu,Quechua,NA,NA,NA
Romansh,rm,Romansh,NA,NA,NA
Kirundi,rn,Kirundi,NA,NA,NA
Romanian,ro,Romanian,NA,NA,NA
Russian,ru,Russian,NA,NA,NA
Sanskrit (Sa<U+1E41>sk<U+1E5B>ta),sa,Sanskrit (Sa<U+1E41>sk<U+1E5B>ta),NA,NA,NA
Sardinian,sc,Sardinian,NA,NA,NA
Sindhi,sd,Sindhi,NA,NA,NA
Northern Sami,se,Northern Sami,NA,NA,NA
Samoan,sm,Samoan,NA,NA,NA
Sango,sg,Sango,NA,NA,NA
Serbian,sr,Serbian,NA,NA,NA
"Scottish Gaelic, Gaelic",gd,Scottish Gaelic,Gaelic,NA,NA
Shona,sn,Shona,NA,NA,NA
"Sinhala, Sinhalese",si,Sinhala,Sinhalese,NA,NA
Slovak,sk,Slovak,NA,NA,NA
Slovene,sl,Slovene,NA,NA,NA
Somali,so,Somali,NA,NA,NA
Southern Sotho,st,Southern Sotho,NA,NA,NA
Spanish,es,Spanish,NA,NA,NA
Sundanese,su,Sundanese,NA,NA,NA
Swahili,sw,Swahili,NA,NA,NA
Swati,ss,Swati,NA,NA,NA
Swedish,sv,Swedish,NA,NA,NA
Tamil,ta,Tamil,NA,NA,NA
Telugu,te,Telugu,NA,NA,NA
Tajik,tg,Tajik,NA,NA,NA
Thai,th,Thai,NA,NA,NA
Tigrinya,ti,Tigrinya,NA,NA,NA
"Tibetan Standard, Tibetan, Central",bo,Tibetan Standard,Tibetan,Central Tibetan,NA
Turkmen,tk,Turkmen,NA,NA,NA
Tagalog,tl,Tagalog,NA,NA,NA
Tswana,tn,Tswana,NA,NA,NA
Tonga (Tonga Islands),to,Tonga,NA,NA,NA
Turkish,tr,Turkish,NA,NA,NA
Tsonga,ts,Tsonga,NA,NA,NA
Tatar,tt,Tatar,NA,NA,NA
Twi,tw,Twi,NA,NA,NA
Tahitian,ty,Tahitian,NA,NA,NA
Uyghur,ug,Uyghur,NA,NA,NA
Ukrainian,uk,Ukrainian,NA,NA,NA
Urdu,ur,Urdu,NA,NA,NA
Uzbek,uz,Uzbek,NA,NA,NA
Venda,ve,Venda,NA,NA,NA
Vietnamese,vi,Vietnamese,NA,NA,NA
Volapük,vo,Volapük,NA,NA,NA
